EmpID,StartDate,EndDate,BranchID
00001,2010-12-09 00:00:00,,7
00002,2003-05-16 00:00:00,,3
00003,2005-11-07 00:00:00,,13
00004,2010-09-04 00:00:00,,5
00005,1993-09-02 00:00:00,,8
00006,1996-12-17 00:00:00,,15
00007,2004-03-02 00:00:00,,14
00008,1999-01-11 00:00:00,,2
00009,1998-07-24 00:00:00,,5
00010,2011-06-18 00:00:00,,9
00011,2006-11-29 00:00:00,,5
00012,2010-09-13 00:00:00,,15
00013,2019-03-04 00:00:00,,15
00014,2018-10-12 00:00:00,,12
00015,2001-02-06 00:00:00,,10
00016,2003-10-19 00:00:00,,1
00017,2007-02-03 00:00:00,,5
00018,2004-10-22 00:00:00,,8
00019,2004-03-16 00:00:00,,15
00020,2011-02-16 00:00:00,,7
00021,2004-05-05 00:00:00,,10
00022,2019-09-12 00:00:00,,2
00023,1999-03-11 00:00:00,,7
00024,2010-04-21 00:00:00,,9
00025,2010-11-20 00:00:00,,9
00026,1999-09-05 00:00:00,,8
00027,2003-02-25 00:00:00,,15
00028,2001-08-04 00:00:00,,14
00029,2011-10-03 00:00:00,,14
00030,2002-09-11 00:00:00,,13
00031,2015-07-05 00:00:00,,12
00032,1997-09-15 00:00:00,,1
00033,2012-10-02 00:00:00,,2
00034,2014-11-05 00:00:00,,4
00035,1994-07-29 00:00:00,,1
00036,2015-04-15 00:00:00,,6
00037,2010-06-01 00:00:00,,8
00038,2001-03-21 00:00:00,,7
00039,2002-08-24 00:00:00,,1
00040,2016-01-02 00:00:00,,12
00041,2018-07-08 00:00:00,,8
00042,2008-11-25 00:00:00,,8
00043,2008-09-04 00:00:00,,6
00044,2018-02-10 00:00:00,,14
00045,1998-12-21 00:00:00,,13
00046,2017-02-17 00:00:00,,14
00047,2005-12-15 00:00:00,,12
00048,2009-03-28 00:00:00,,6
00049,2018-02-22 00:00:00,,10
00050,2000-01-18 00:00:00,,7
00051,2016-01-27 00:00:00,,7
00052,2008-10-05 00:00:00,,8
00053,2013-07-20 00:00:00,,15
00054,2005-06-15 00:00:00,,4
00055,2019-02-21 00:00:00,,11
00056,2006-09-16 00:00:00,,10
00057,2018-01-11 00:00:00,,10
00058,2016-06-23 00:00:00,,2
00059,2007-03-04 00:00:00,,1
00060,2016-07-01 00:00:00,,8
00061,2018-10-04 00:00:00,,6
00062,2007-02-26 00:00:00,,2
00063,1996-12-24 00:00:00,,11
00064,1992-05-21 00:00:00,,11
00065,2015-10-19 00:00:00,,9
00066,2008-08-08 00:00:00,,13
00067,2009-09-28 00:00:00,,11
00068,2016-07-06 00:00:00,,12
00069,2005-10-17 00:00:00,,1
00070,2017-02-23 00:00:00,,15
00071,2008-10-08 00:00:00,,1
00072,2005-08-24 00:00:00,,9
00073,2004-01-30 00:00:00,,4
00074,2018-05-15 00:00:00,,14
00075,2009-02-09 00:00:00,,7
00076,2002-09-24 00:00:00,,11
00077,1996-01-22 00:00:00,,13
00078,2008-03-01 00:00:00,,4
00079,2019-03-25 00:00:00,,4
00080,2011-08-04 00:00:00,,12
00081,1993-09-01 00:00:00,,7
00082,2018-01-13 00:00:00,,14
00083,2007-04-13 00:00:00,,10
00084,2011-03-29 00:00:00,,15
00085,2000-07-04 00:00:00,,6
00086,2008-01-31 00:00:00,,13
00087,1997-02-21 00:00:00,,14
00088,2016-02-08 00:00:00,,8
00089,2013-03-20 00:00:00,,2
00090,2016-11-22 00:00:00,,9
00091,1998-03-25 00:00:00,,7
00092,2007-05-26 00:00:00,,10
00093,2003-10-05 00:00:00,,2
00094,2002-06-24 00:00:00,,8
00095,2004-12-06 00:00:00,,11
00096,2019-05-22 00:00:00,,13
00097,1999-03-02 00:00:00,,13
00098,2010-04-05 00:00:00,,8
00099,2005-03-13 00:00:00,,1
00100,1999-06-28 00:00:00,,4
00101,1992-04-27 00:00:00,,5
00102,2014-11-12 00:00:00,,12
00103,2015-05-03 00:00:00,,2
00104,2013-07-19 00:00:00,,6
00105,1996-09-21 00:00:00,,13
00106,2002-10-22 00:00:00,,3
00107,2013-06-27 00:00:00,,12
00108,2008-11-23 00:00:00,,9
00109,2002-11-07 00:00:00,,9
00110,2017-03-26 00:00:00,,5
00111,2008-06-01 00:00:00,,9
00112,1995-11-17 00:00:00,,14
00113,1997-03-11 00:00:00,,13
00114,2013-06-04 00:00:00,,5
00115,2007-12-07 00:00:00,,10
00116,2008-08-26 00:00:00,,8
00117,2002-11-19 00:00:00,,10
00118,1999-02-10 00:00:00,,3
00119,2011-05-30 00:00:00,,15
00120,2010-11-01 00:00:00,,9
00121,2011-10-19 00:00:00,,13
00122,2008-01-01 00:00:00,,1
00123,2016-05-09 00:00:00,,2
00124,2016-01-02 00:00:00,,9
00125,2018-04-02 00:00:00,,9
00126,2006-02-09 00:00:00,,15
00127,2001-04-09 00:00:00,,12
00128,2018-03-02 00:00:00,,2
00129,2007-09-19 00:00:00,,10
00130,2000-12-07 00:00:00,,2
00131,2004-12-04 00:00:00,,7
00132,2018-12-02 00:00:00,,1
00133,1999-02-20 00:00:00,,4
00134,2017-08-06 00:00:00,,11
00135,2006-09-19 00:00:00,,4
00136,2012-07-13 00:00:00,,13
00137,2002-07-28 00:00:00,,4
00138,2017-10-24 00:00:00,,15
00139,2017-12-28 00:00:00,,7
00140,2013-06-03 00:00:00,,14
00141,2011-12-13 00:00:00,,3
00142,2018-07-08 00:00:00,,2
00143,2002-12-02 00:00:00,,4
00144,2016-08-24 00:00:00,,15
00145,2015-05-21 00:00:00,,15
00146,2016-01-12 00:00:00,,8
00147,2006-01-20 00:00:00,,12
00148,2018-02-20 00:00:00,,8
00149,2008-03-27 00:00:00,,8
00150,2003-09-20 00:00:00,,9
00151,2017-08-11 00:00:00,,3
00152,2015-03-08 00:00:00,,7
00153,2002-08-28 00:00:00,,1
00154,2012-01-27 00:00:00,,2
00155,2016-04-19 00:00:00,,9
00156,2018-01-15 00:00:00,,9
00157,2002-02-27 00:00:00,,4
00158,2003-10-18 00:00:00,,9
00159,2014-06-17 00:00:00,,5
00160,2015-09-29 00:00:00,,9
00161,2012-11-08 00:00:00,,15
00162,2015-01-19 00:00:00,,1
00163,2007-12-20 00:00:00,,2
00164,2005-07-27 00:00:00,,3
00165,2005-07-25 00:00:00,,5
00166,2004-11-09 00:00:00,,11
00167,2011-11-25 00:00:00,,13
00168,2019-01-24 00:00:00,,8
00169,2012-08-07 00:00:00,,8
00170,2018-10-14 00:00:00,,2
00171,2007-05-10 00:00:00,,10
00172,2010-01-25 00:00:00,,15
00173,1999-11-05 00:00:00,,14
00174,2019-07-05 00:00:00,,8
00175,2018-04-26 00:00:00,,2
00176,2015-10-09 00:00:00,,10
00177,2002-06-05 00:00:00,,3
00178,2015-12-06 00:00:00,,6
00179,2019-07-30 00:00:00,,9
00180,1998-01-20 00:00:00,,3
00181,2005-06-14 00:00:00,,3
00182,2015-01-06 00:00:00,,3
00183,1998-08-12 00:00:00,,6
00184,2017-09-10 00:00:00,,4
00185,2005-08-13 00:00:00,,12
00186,1994-08-12 00:00:00,,15
00187,2008-05-13 00:00:00,,14
00188,2001-09-12 00:00:00,,15
00189,2012-11-27 00:00:00,,12
00190,2015-01-27 00:00:00,,5
00191,2018-11-07 00:00:00,,9
00192,2005-05-22 00:00:00,,15
00193,2013-12-18 00:00:00,,14
00194,2005-05-01 00:00:00,,9
00195,2008-01-02 00:00:00,,2
00196,1994-10-16 00:00:00,,15
00197,2008-05-08 00:00:00,,5
00198,2003-09-03 00:00:00,,11
00199,1998-06-10 00:00:00,,5
00200,2017-01-04 00:00:00,,15
00201,2012-04-11 00:00:00,,3
00202,1995-12-04 00:00:00,,1
00203,2017-03-16 00:00:00,,13
00204,2012-07-18 00:00:00,,13
00205,1995-03-13 00:00:00,,11
00206,2015-04-18 00:00:00,,2
00207,2008-03-11 00:00:00,,6
00208,2007-01-20 00:00:00,,11
00209,2008-05-03 00:00:00,,3
00210,2000-10-27 00:00:00,,7
00211,1995-04-16 00:00:00,,11
00212,2017-12-05 00:00:00,,6
00213,2012-07-12 00:00:00,,2
00214,2004-10-26 00:00:00,,7
00215,2010-09-02 00:00:00,,12
00216,2009-06-09 00:00:00,,2
00217,2013-05-30 00:00:00,,10
00218,1996-02-12 00:00:00,,2
00219,2014-02-18 00:00:00,,4
00220,2013-04-03 00:00:00,,14
00221,2002-10-30 00:00:00,,15
00222,2000-05-20 00:00:00,,11
00223,2011-01-27 00:00:00,,2
00224,1999-12-17 00:00:00,,2
00225,1995-08-02 00:00:00,,10
00226,2016-04-16 00:00:00,,9
00227,2018-07-15 00:00:00,,14
00228,1999-11-21 00:00:00,,2
00229,2016-03-22 00:00:00,,7
00230,2011-03-02 00:00:00,,12
00231,1993-04-01 00:00:00,,6
00232,2007-05-14 00:00:00,,8
00233,2001-05-26 00:00:00,,9
00234,1991-11-18 00:00:00,,10
00235,2011-12-07 00:00:00,,10
00236,2018-08-15 00:00:00,,7
00237,2012-02-22 00:00:00,,15
00238,2019-11-19 00:00:00,,11
00239,2006-10-05 00:00:00,,2
00240,2012-06-10 00:00:00,,2
00241,2016-05-24 00:00:00,,7
00242,2004-12-09 00:00:00,,6
00243,2011-08-16 00:00:00,,12
00244,1998-07-27 00:00:00,,3
00245,2013-10-24 00:00:00,,11
00246,2004-07-26 00:00:00,,13
00247,2009-08-26 00:00:00,,1
00248,2005-12-05 00:00:00,,7
00249,2002-06-07 00:00:00,,4
00250,2013-12-03 00:00:00,,9
00251,2007-10-17 00:00:00,,3
00252,2014-07-29 00:00:00,,13
00253,2005-08-19 00:00:00,,2
00254,2001-11-24 00:00:00,,5
00255,2004-11-03 00:00:00,,3
00256,1998-07-21 00:00:00,,6
00257,2008-11-02 00:00:00,,12
00258,2011-09-19 00:00:00,,2
00259,2003-10-06 00:00:00,,12
00260,2015-02-27 00:00:00,,13
00261,2010-07-22 00:00:00,,8
00262,2015-05-19 00:00:00,,4
00263,2017-07-06 00:00:00,,12
00264,2006-01-04 00:00:00,,12
00265,2005-03-09 00:00:00,,12
00266,2003-08-05 00:00:00,,2
00267,2003-09-05 00:00:00,,14
00268,1998-07-08 00:00:00,,8
00269,1996-02-07 00:00:00,,13
00270,2002-03-02 00:00:00,,10
00271,2015-12-01 00:00:00,,12
00272,2017-01-04 00:00:00,,11
00273,2017-02-09 00:00:00,,4
00274,2018-03-10 00:00:00,,4
00275,1995-11-19 00:00:00,,3
00276,2013-06-20 00:00:00,,13
00277,2017-03-04 00:00:00,,5
00278,1999-05-18 00:00:00,,14
00279,2011-11-06 00:00:00,,15
00280,2001-10-18 00:00:00,,1
00281,1995-10-28 00:00:00,,1
00282,2004-01-18 00:00:00,,11
00283,2009-08-07 00:00:00,,4
00284,2006-02-26 00:00:00,,6
00285,2017-04-28 00:00:00,,6
00286,2016-10-02 00:00:00,,4
00287,2015-11-19 00:00:00,,15
00288,2000-04-12 00:00:00,,11
00289,2011-07-07 00:00:00,,6
00290,2013-02-04 00:00:00,,13
00291,2014-04-01 00:00:00,,13
00292,2015-05-16 00:00:00,,12
00293,2012-06-28 00:00:00,,4
00294,2006-03-09 00:00:00,,6
00295,2011-03-08 00:00:00,,4
00296,2019-12-23 00:00:00,,8
00297,2011-01-31 00:00:00,,1
00298,2008-01-09 00:00:00,,4
00299,2005-02-13 00:00:00,,13
00300,2008-06-14 00:00:00,,13
00301,2013-03-19 00:00:00,,1
00302,2015-02-04 00:00:00,,1
00303,2007-03-03 00:00:00,,6
00304,2002-07-11 00:00:00,,5
00305,1996-03-23 00:00:00,,1
00306,2006-09-18 00:00:00,,1
00307,2004-01-05 00:00:00,,3
00308,1999-09-24 00:00:00,,14
00309,2010-03-06 00:00:00,,5
00310,2001-01-24 00:00:00,,12
00311,2003-04-05 00:00:00,,12
00312,2008-10-26 00:00:00,,9
00313,1996-09-20 00:00:00,,7
00314,2014-06-03 00:00:00,,6
00315,2017-10-22 00:00:00,,11
00316,2017-09-01 00:00:00,,3
00317,2011-12-15 00:00:00,,9
00318,1991-05-22 00:00:00,,3
00319,2010-03-04 00:00:00,,7
00320,2014-04-02 00:00:00,,7
00321,1993-08-04 00:00:00,,5
00322,1993-07-31 00:00:00,,2
00323,2013-09-15 00:00:00,,10
00324,2005-08-14 00:00:00,,12
00325,2016-12-29 00:00:00,,9
00326,2016-08-02 00:00:00,,13
00327,2002-07-29 00:00:00,,6
00328,2003-01-14 00:00:00,,14
00329,2008-05-22 00:00:00,,4
00330,2012-04-10 00:00:00,,3
00331,2006-06-28 00:00:00,,4
00332,2012-02-15 00:00:00,,15
00333,2017-11-26 00:00:00,,5
00334,2016-04-24 00:00:00,,3
00335,2001-04-25 00:00:00,,15
00336,1998-02-20 00:00:00,,5
00337,2016-08-03 00:00:00,,5
00338,2001-05-26 00:00:00,,15
00339,2015-05-15 00:00:00,,10
00340,2011-03-22 00:00:00,,13
00341,2011-07-17 00:00:00,,8
00342,2016-01-22 00:00:00,,5
00343,2007-01-21 00:00:00,,11
00344,2016-06-11 00:00:00,,5
00345,2012-05-11 00:00:00,,12
00346,2013-11-19 00:00:00,,6
00347,1996-05-19 00:00:00,,4
00348,2010-12-13 00:00:00,,5
00349,2013-11-20 00:00:00,,12
00350,2005-07-22 00:00:00,,8
00351,2007-03-14 00:00:00,,11
00352,2015-09-19 00:00:00,,9
00353,2016-06-29 00:00:00,,13
00354,1994-10-13 00:00:00,,9
00355,2013-02-28 00:00:00,,9
00356,2012-06-24 00:00:00,,10
00357,2004-12-14 00:00:00,,2
00358,2008-07-23 00:00:00,,4
00359,2011-08-14 00:00:00,,7
00360,2016-02-10 00:00:00,,14
00361,2010-07-10 00:00:00,,12
00362,1998-03-15 00:00:00,,14
00363,2018-11-30 00:00:00,,12
00364,2011-03-23 00:00:00,,5
00365,1996-02-23 00:00:00,,10
00366,2011-03-22 00:00:00,,14
00367,1994-09-12 00:00:00,,4
00368,2006-07-18 00:00:00,,2
00369,1991-10-11 00:00:00,,4
00370,2007-07-24 00:00:00,,3
00371,2013-04-22 00:00:00,,13
00372,2012-01-11 00:00:00,,5
00373,2002-04-21 00:00:00,,4
00374,2016-01-17 00:00:00,,10
00375,2012-08-27 00:00:00,,3
00376,2016-07-08 00:00:00,,1
00377,2005-10-29 00:00:00,,2
00378,2010-09-04 00:00:00,,11
00379,2005-02-02 00:00:00,,7
00380,2012-09-07 00:00:00,,12
00381,2012-08-30 00:00:00,,13
00382,2008-06-28 00:00:00,,1
00383,2006-12-12 00:00:00,,15
00384,2004-12-18 00:00:00,,7
00385,2000-06-29 00:00:00,,10
00386,1997-02-09 00:00:00,,10
00387,2011-07-18 00:00:00,,12
00388,2012-09-18 00:00:00,,3
00389,2009-08-23 00:00:00,,4
00390,2011-08-27 00:00:00,,15
00391,2015-05-24 00:00:00,,11
00392,2019-03-07 00:00:00,,14
00393,2004-02-05 00:00:00,,6
00394,2011-02-25 00:00:00,,2
00395,2007-01-08 00:00:00,,15
00396,2011-11-05 00:00:00,,14
00397,2002-02-10 00:00:00,,7
00398,2005-11-05 00:00:00,,8
00399,2014-02-22 00:00:00,,6
00400,2013-11-19 00:00:00,,13
00401,2002-11-11 00:00:00,,2
00402,2004-05-13 00:00:00,,7
00403,2007-10-29 00:00:00,,6
00404,2014-10-05 00:00:00,,8
00405,2018-05-29 00:00:00,,14
00406,2010-01-03 00:00:00,,10
00407,2011-07-02 00:00:00,,2
00408,2000-02-04 00:00:00,,7
00409,2017-02-08 00:00:00,,3
00410,2019-12-24 00:00:00,,2
00411,2010-06-02 00:00:00,,2
00412,2004-11-25 00:00:00,,14
00413,2009-06-17 00:00:00,,13
00414,2014-10-22 00:00:00,,9
00415,2013-07-21 00:00:00,,11
00416,2018-03-04 00:00:00,,2
00417,2005-01-16 00:00:00,,14
00418,2014-12-26 00:00:00,,7
00419,2007-09-06 00:00:00,,10
00420,2016-03-13 00:00:00,,10
00421,2014-02-23 00:00:00,,9
00422,2019-01-17 00:00:00,,7
00423,2018-09-05 00:00:00,,12
00424,2001-08-13 00:00:00,,6
00425,2009-01-04 00:00:00,,8
00426,2015-06-06 00:00:00,,4
00427,2007-06-25 00:00:00,,9
00428,2010-04-04 00:00:00,,13
00429,2005-01-06 00:00:00,,3
00430,2003-08-13 00:00:00,,14
00431,2011-05-04 00:00:00,,13
00432,2004-06-13 00:00:00,,11
00433,1997-04-02 00:00:00,,5
00434,2015-09-23 00:00:00,,4
00435,2018-06-27 00:00:00,,14
00436,2012-10-31 00:00:00,,14
00437,2018-10-22 00:00:00,,4
00438,2010-02-17 00:00:00,,3
00439,2003-09-28 00:00:00,,14
00440,2011-04-13 00:00:00,,12
00441,2007-12-08 00:00:00,,13
00442,2012-02-04 00:00:00,,4
00443,2014-02-20 00:00:00,,3
00444,2015-07-01 00:00:00,,6
00445,2014-01-09 00:00:00,,6
00446,2011-07-26 00:00:00,,14
00447,2011-02-05 00:00:00,,14
00448,2011-12-31 00:00:00,,4
00449,1994-04-27 00:00:00,,6
00450,2007-03-04 00:00:00,,6
00451,1996-10-05 00:00:00,,10
00452,1997-09-24 00:00:00,,4
00453,1993-11-04 00:00:00,,13
00454,2005-10-03 00:00:00,,4
00455,2017-07-07 00:00:00,,7
00456,1994-03-30 00:00:00,,4
00457,2018-10-24 00:00:00,,7
00458,1999-09-18 00:00:00,,7
00459,2003-04-12 00:00:00,,6
00460,2017-02-16 00:00:00,,15
00461,2018-07-01 00:00:00,,14
00462,2003-08-05 00:00:00,,12
00463,2006-08-11 00:00:00,,14
00464,2010-10-31 00:00:00,,15
00465,2003-01-31 00:00:00,,15
00466,2019-01-27 00:00:00,,12
00467,2008-01-03 00:00:00,,13
00468,2011-03-11 00:00:00,,1
00469,1998-11-24 00:00:00,,4
00470,2005-10-03 00:00:00,,5
00471,2002-05-04 00:00:00,,7
00472,2003-08-01 00:00:00,,11
00473,1998-08-10 00:00:00,,7
00474,2007-09-26 00:00:00,,2
00475,1999-01-11 00:00:00,,6
00476,2006-05-02 00:00:00,,8
00477,2010-01-04 00:00:00,,11
00478,2011-09-07 00:00:00,,3
00479,2014-05-18 00:00:00,,8
00480,2016-10-29 00:00:00,,4
00481,1997-11-26 00:00:00,,6
00482,2011-08-28 00:00:00,,15
00483,1999-06-01 00:00:00,,15
00484,1994-01-05 00:00:00,,8
00485,1995-10-05 00:00:00,,4
00486,2001-09-21 00:00:00,,3
00487,2019-12-02 00:00:00,,3
00488,2010-08-02 00:00:00,,8
00489,1995-10-26 00:00:00,,9
00490,2004-05-17 00:00:00,,8
00491,1993-06-27 00:00:00,,9
00492,2008-03-01 00:00:00,,8
00493,2001-10-22 00:00:00,,1
00494,2015-12-15 00:00:00,,8
00495,2006-02-12 00:00:00,,15
00496,2011-04-11 00:00:00,,13
00497,2016-11-21 00:00:00,,11
00498,2003-06-09 00:00:00,,12
00499,2017-05-01 00:00:00,,7
00500,2018-05-03 00:00:00,,3
00501,2018-11-19 00:00:00,,7
00502,2008-08-27 00:00:00,,5
00503,2009-03-16 00:00:00,,10
00504,2006-05-27 00:00:00,,4
00505,2013-08-30 00:00:00,,13
00506,2008-01-06 00:00:00,,9
00507,2007-10-21 00:00:00,,7
00508,1996-04-01 00:00:00,,2
00509,2016-07-21 00:00:00,,6
00510,2003-11-09 00:00:00,,15
00511,2010-07-28 00:00:00,,7
00512,2018-01-22 00:00:00,,6
00513,2009-03-26 00:00:00,,6
00514,2001-05-25 00:00:00,,3
00515,2008-09-02 00:00:00,,10
00516,1999-01-06 00:00:00,,10
00517,2008-06-04 00:00:00,,3
00518,2010-08-15 00:00:00,,4
00519,2019-09-11 00:00:00,,15
00520,2008-03-04 00:00:00,,9
00521,2003-07-06 00:00:00,,13
00522,2019-09-29 00:00:00,,2
00523,1997-10-11 00:00:00,,11
00524,2003-07-15 00:00:00,,14
00525,2005-01-26 00:00:00,,7
00526,1999-03-04 00:00:00,,3
00527,1994-06-19 00:00:00,,8
00528,2007-03-12 00:00:00,,8
00529,2007-10-12 00:00:00,,1
00530,2013-05-04 00:00:00,,9
00531,2005-02-13 00:00:00,,14
00532,2006-02-14 00:00:00,,12
00533,2013-10-10 00:00:00,,3
00534,2011-06-18 00:00:00,,15
00535,2012-03-04 00:00:00,,7
00536,2018-07-21 00:00:00,,9
00537,2012-02-04 00:00:00,,2
00538,2010-05-02 00:00:00,,7
00539,2009-09-05 00:00:00,,10
00540,1998-04-21 00:00:00,,1
00541,2000-07-21 00:00:00,,14
00542,2007-12-06 00:00:00,,6
00543,1999-11-02 00:00:00,,6
00544,2016-06-10 00:00:00,,2
00545,1995-08-15 00:00:00,,3
00546,1999-03-11 00:00:00,,14
00547,2011-08-02 00:00:00,,3
00548,2019-11-15 00:00:00,,7
00549,1995-07-08 00:00:00,,14
00550,2016-11-17 00:00:00,,10
00551,2006-05-10 00:00:00,,9
00552,2006-08-22 00:00:00,,14
00553,2016-12-16 00:00:00,,10
00554,2018-12-04 00:00:00,,14
00555,2019-01-26 00:00:00,,15
00556,2008-12-01 00:00:00,,15
00557,2000-08-03 00:00:00,,11
00558,2012-04-28 00:00:00,,13
00559,2017-10-16 00:00:00,,11
00560,2014-01-20 00:00:00,,1
00561,2011-04-10 00:00:00,,4
00562,2000-09-26 00:00:00,,7
00563,2019-01-08 00:00:00,,4
00564,2012-10-16 00:00:00,,7
00565,2016-03-23 00:00:00,,10
00566,2008-03-22 00:00:00,,13
00567,1998-05-17 00:00:00,,8
00568,2019-01-21 00:00:00,,14
00569,1994-08-20 00:00:00,,1
00570,2012-01-06 00:00:00,,13
00571,2010-05-22 00:00:00,,15
00572,2013-01-19 00:00:00,,10
00573,1993-09-21 00:00:00,,1
00574,2008-06-24 00:00:00,,11
00575,2017-09-24 00:00:00,,2
00576,2009-04-01 00:00:00,,1
00577,2005-03-14 00:00:00,,2
00578,1998-09-06 00:00:00,,14
00579,2002-04-10 00:00:00,,2
00580,2005-07-01 00:00:00,,12
00581,2008-01-06 00:00:00,,14
00582,2014-11-20 00:00:00,,1
00583,2018-01-06 00:00:00,,2
00584,2000-10-01 00:00:00,,11
00585,2019-07-26 00:00:00,,13
00586,2009-12-06 00:00:00,,5
00587,1995-09-08 00:00:00,,10
00588,1995-08-13 00:00:00,,11
00589,2009-01-21 00:00:00,,7
00590,2006-04-03 00:00:00,,5
00591,2009-09-29 00:00:00,,15
00592,2006-12-19 00:00:00,,8
00593,1998-12-06 00:00:00,,8
00594,1993-08-23 00:00:00,,4
00595,2014-08-11 00:00:00,,12
00596,2003-01-30 00:00:00,,7
00597,2011-09-27 00:00:00,,13
00598,2000-11-15 00:00:00,,4
00599,2018-12-26 00:00:00,,13
00600,2014-01-12 00:00:00,,4
00601,2011-12-13 00:00:00,,4
00602,2014-04-26 00:00:00,,12
00603,2002-01-11 00:00:00,,15
00604,2008-02-26 00:00:00,,3
00605,1996-12-10 00:00:00,,6
00606,2016-10-13 00:00:00,,6
00607,2013-06-10 00:00:00,,9
00608,2007-09-29 00:00:00,,1
00609,2010-07-11 00:00:00,,1
00610,2011-03-01 00:00:00,,6
00611,2009-03-30 00:00:00,,9
00612,2013-11-20 00:00:00,,8
00613,2009-07-12 00:00:00,,1
00614,2017-02-21 00:00:00,,2
00615,2015-05-31 00:00:00,,7
00616,2003-03-06 00:00:00,,1
00617,2002-03-25 00:00:00,,2
00618,2018-11-15 00:00:00,,2
00619,1993-05-29 00:00:00,,2
00620,2002-11-25 00:00:00,,6
00621,1998-08-06 00:00:00,,1
00622,2009-02-14 00:00:00,,12
00623,1999-01-13 00:00:00,,4
00624,2019-07-30 00:00:00,,4
00625,2014-03-04 00:00:00,,1
00626,2009-10-31 00:00:00,,11
00627,2011-06-21 00:00:00,,9
00628,2011-07-10 00:00:00,,1
00629,2004-12-29 00:00:00,,11
00630,1999-01-30 00:00:00,,14
00631,2016-07-30 00:00:00,,12
00632,2008-01-10 00:00:00,,11
00633,2007-11-03 00:00:00,,2
00634,2006-02-16 00:00:00,,14
00635,2011-01-28 00:00:00,,10
00636,2014-06-24 00:00:00,,5
00637,2009-11-17 00:00:00,,10
00638,2015-04-25 00:00:00,,6
00639,2010-07-12 00:00:00,,1
00640,1997-08-08 00:00:00,,2
00641,2014-03-05 00:00:00,,11
00642,2008-06-17 00:00:00,,12
00643,2012-12-03 00:00:00,,6
00644,2018-07-02 00:00:00,,14
00645,2013-07-10 00:00:00,,2
00646,1998-05-13 00:00:00,,10
00647,2008-09-29 00:00:00,,12
00648,1997-06-29 00:00:00,,7
00649,1996-03-22 00:00:00,,11
00650,2011-03-14 00:00:00,,9
00651,2003-09-23 00:00:00,,12
00652,2012-09-17 00:00:00,,9
00653,2019-04-29 00:00:00,,6
00654,2014-04-13 00:00:00,,3
00655,2002-03-12 00:00:00,,3
00656,2017-01-02 00:00:00,,7
00657,2001-07-27 00:00:00,,9
00658,2011-07-17 00:00:00,,1
00659,2019-12-02 00:00:00,,2
00660,2014-01-09 00:00:00,,14
00661,2016-06-16 00:00:00,,1
