OCCCD,LoginDate,LoginDuration
0000000001,2024-05-09 04:23:21,56
0000000001,2022-01-16 21:34:28,5
0000000002,2024-09-04 02:51:49,22
0000000002,2022-02-09 04:23:35,44
0000000004,2023-11-19 14:40:49,57
0000000004,2023-11-05 03:12:47,53
0000000005,2024-02-14 09:22:22,45
0000000005,2022-06-15 02:41:01,47
0000000007,2024-03-11 00:35:34,38
0000000007,2021-07-07 19:43:47,57
0000000009,2022-10-12 06:07:12,11
0000000009,2023-10-16 07:49:07,57
0000000011,2020-11-05 15:51:04,13
0000000011,2024-04-24 19:38:30,8
0000000012,2024-06-24 05:50:33,18
0000000012,2022-07-21 00:42:20,6
0000000016,2020-08-06 07:22:49,13
0000000016,2022-01-14 08:51:22,9
0000000019,2023-06-26 03:44:41,60
0000000019,2023-11-19 08:55:58,49
0000000021,2024-04-10 08:30:36,3
0000000021,2023-07-05 22:21:17,24
0000000022,2023-09-06 18:18:01,47
0000000022,2020-10-01 01:37:27,17
0000000023,2020-05-17 21:24:06,56
0000000023,2023-10-28 02:17:27,24
0000000026,2024-06-20 14:54:08,46
0000000026,2024-02-08 13:34:05,50
0000000027,2023-07-17 04:54:35,50
0000000027,2021-03-25 10:00:08,20
0000000028,2021-07-19 10:03:05,3
0000000028,2022-11-30 15:32:09,32
0000000029,2023-06-22 22:40:32,41
0000000029,2023-10-23 16:34:21,49
0000000030,2020-12-28 08:11:48,1
0000000030,2024-04-07 05:27:42,57
0000000032,2021-10-22 13:49:59,6
0000000032,2020-04-11 22:38:33,32
0000000033,2021-11-21 12:52:18,47
0000000033,2023-10-31 21:54:04,54
0000000036,2020-08-27 12:33:12,46
0000000036,2023-07-19 21:49:26,6
0000000037,2024-01-02 01:48:50,29
0000000037,2020-03-22 12:07:33,47
0000000039,2023-07-10 03:27:20,28
0000000039,2021-06-19 15:47:34,3
0000000041,2022-09-29 13:43:46,54
0000000041,2022-02-03 19:22:35,39
0000000042,2023-07-29 19:26:55,53
0000000042,2023-02-02 11:00:00,51
0000000047,2022-06-06 14:18:05,5
0000000047,2023-08-24 18:28:56,58
0000000048,2022-08-18 22:35:54,50
0000000048,2023-11-01 16:27:31,28
0000000050,2024-04-25 18:36:06,32
0000000050,2023-12-13 08:36:08,26
0000000054,2021-03-28 12:09:09,50
0000000054,2023-03-29 13:55:56,5
0000000055,2021-03-20 08:14:20,14
0000000055,2023-09-28 09:03:36,59
0000000056,2024-10-28 12:46:01,36
0000000056,2021-04-01 00:28:28,3
0000000059,2020-06-29 22:41:02,25
0000000059,2020-02-06 13:54:20,46
0000000065,2022-08-15 01:56:49,2
0000000065,2021-01-16 14:55:45,53
0000000066,2021-08-16 04:34:27,48
0000000066,2020-03-24 22:35:02,33
0000000067,2024-10-21 09:37:40,59
0000000067,2021-06-20 03:35:12,53
0000000070,2024-09-11 04:48:54,21
0000000070,2022-09-18 19:09:39,43
0000000071,2023-05-06 14:43:16,39
0000000071,2020-02-03 08:54:52,52
0000000072,2021-05-16 08:30:31,27
0000000072,2020-11-09 22:47:31,1
0000000073,2021-06-24 11:51:00,46
0000000073,2023-12-10 09:12:32,20
0000000074,2023-08-31 09:20:39,18
0000000074,2021-07-05 19:38:22,17
0000000076,2020-01-22 04:28:33,56
0000000076,2023-12-10 19:29:47,32
0000000077,2024-07-09 16:43:22,21
0000000077,2020-11-05 05:06:39,59
0000000079,2023-02-13 18:18:20,24
0000000079,2020-12-29 21:44:04,51
0000000082,2021-10-10 08:14:38,55
0000000082,2023-08-30 06:50:01,57
0000000083,2021-08-17 00:04:40,35
0000000083,2020-10-04 09:48:55,3
0000000084,2024-09-17 20:41:41,30
0000000084,2022-11-04 01:12:56,32
0000000085,2022-10-23 13:26:53,56
0000000085,2023-01-24 04:27:21,59
0000000088,2020-08-18 17:08:21,53
0000000088,2020-01-08 02:36:19,60
0000000090,2024-09-18 18:46:31,13
0000000090,2023-07-22 08:57:47,24
0000000091,2022-01-27 00:24:15,49
0000000091,2021-06-01 05:13:16,16
0000000092,2021-12-04 14:40:09,30
0000000092,2023-02-09 15:24:14,31
0000000094,2022-07-24 15:04:47,41
0000000094,2022-10-27 07:28:33,1
0000000095,2020-01-28 06:16:01,27
0000000095,2021-04-16 04:44:37,58
0000000096,2024-06-02 23:33:08,38
0000000096,2023-01-11 04:13:44,41
0000000098,2021-10-31 23:44:34,4
0000000098,2023-09-29 00:42:16,40
0000000099,2021-02-24 11:45:52,14
0000000099,2020-02-27 21:34:49,21
0000000101,2021-03-16 15:12:54,15
0000000101,2023-05-15 15:38:30,6
0000000102,2021-02-22 02:35:50,3
0000000102,2023-01-18 17:26:45,28
0000000103,2024-04-24 14:35:10,26
0000000103,2023-01-22 10:04:29,45
0000000104,2021-03-05 19:39:26,57
0000000104,2020-04-24 12:05:47,11
