MCCCD,MemberCardNumber,CreatedDate,SupportEmp,MemberCardRank,MemberCardPoints,MemberCardAcquiredRankDate
0000000001,MC57840,2018-08-17 00:00:00,02735,MEMBER,39,2018-11-01 00:00:00
0000000003,MC98873,2017-07-24 00:00:00,04055,SILVER,66,2018-07-02 00:00:00
0000000005,MC78609,2019-08-05 00:00:00,03524,GOLD,39,2020-04-01 00:00:00
0000000006,MC93298,2022-11-14 00:00:00,00055,MEMBER,42,2023-10-01 00:00:00
0000000009,MC12010,2019-07-26 00:00:00,00046,SILVER,14,2019-10-24 00:00:00
0000000011,MC34892,2016-10-21 00:00:00,03259,MEMBER,3,2017-01-14 00:00:00
0000000014,MC31166,2018-12-25 00:00:00,03281,MEMBER,19,2019-10-25 00:00:00
0000000017,MC29786,2021-02-02 00:00:00,01290,MEMBER,17,2021-05-14 00:00:00
0000000018,MC14628,2023-09-22 00:00:00,03754,GOLD,79,2024-01-26 00:00:00
0000000021,MC80262,2015-02-12 00:00:00,04163,MEMBER,29,2016-01-14 00:00:00
0000000022,MC99952,2021-07-08 00:00:00,01349,MEMBER,12,2022-01-24 00:00:00
0000000023,MC70114,2021-10-24 00:00:00,01087,SILVER,77,2022-08-13 00:00:00
0000000026,MC63837,2015-10-28 00:00:00,00381,GOLD,66,2015-12-23 00:00:00
0000000027,MC61690,2022-07-19 00:00:00,00677,SILVER,13,2023-05-23 00:00:00
0000000028,MC96430,2023-08-25 00:00:00,00476,MEMBER,97,2024-06-15 00:00:00
0000000029,MC99419,2016-01-13 00:00:00,02118,SILVER,23,2016-09-27 00:00:00
0000000032,MC15717,2016-01-15 00:00:00,00452,SILVER,31,2016-12-28 00:00:00
0000000035,MC42423,2023-10-13 00:00:00,03371,SILVER,17,2024-04-11 00:00:00
0000000036,MC24575,2023-04-21 00:00:00,00197,MEMBER,51,2023-06-22 00:00:00
0000000037,MC76725,2018-12-28 00:00:00,03175,GOLD,33,2019-09-12 00:00:00
0000000039,MC65857,2015-05-16 00:00:00,01657,GOLD,2,2015-08-26 00:00:00
0000000041,MC42255,2020-05-04 00:00:00,00011,GOLD,79,2020-11-10 00:00:00
0000000042,MC54258,2017-05-13 00:00:00,04153,MEMBER,93,2017-10-29 00:00:00
0000000044,MC73150,2016-04-18 00:00:00,00175,SILVER,100,2016-09-24 00:00:00
0000000046,MC59869,2016-02-17 00:00:00,03828,MEMBER,26,2016-05-07 00:00:00
0000000047,MC50741,2022-04-18 00:00:00,00630,SILVER,93,2022-09-24 00:00:00
0000000048,MC83917,2016-09-27 00:00:00,03800,SILVER,32,2017-03-20 00:00:00
0000000049,MC21738,2017-04-18 00:00:00,00560,GOLD,100,2017-07-25 00:00:00
0000000051,MC15129,2017-05-07 00:00:00,01155,GOLD,9,2017-11-23 00:00:00
0000000053,MC71923,2016-09-30 00:00:00,02860,MEMBER,14,2017-02-23 00:00:00
0000000055,MC18726,2020-07-08 00:00:00,01409,GOLD,26,2021-02-12 00:00:00
0000000058,MC26266,2018-02-05 00:00:00,03984,SILVER,11,2018-07-13 00:00:00
0000000060,MC98522,2017-09-14 00:00:00,04266,GOLD,13,2018-01-12 00:00:00
0000000061,MC25284,2018-05-11 00:00:00,00040,SILVER,65,2018-10-20 00:00:00
0000000063,MC32653,2022-11-06 00:00:00,04231,GOLD,22,2023-08-11 00:00:00
0000000066,MC41048,2017-06-29 00:00:00,02174,MEMBER,61,2018-02-07 00:00:00
0000000068,MC28041,2015-04-16 00:00:00,03225,GOLD,95,2015-08-07 00:00:00
0000000070,MC35375,2018-09-28 00:00:00,00950,GOLD,10,2018-11-27 00:00:00
0000000071,MC72372,2015-12-01 00:00:00,01967,MEMBER,63,2016-08-06 00:00:00
0000000072,MC21142,2016-07-06 00:00:00,01771,MEMBER,28,2017-05-04 00:00:00
0000000073,MC14568,2023-05-03 00:00:00,02231,GOLD,44,2023-10-03 00:00:00
0000000081,MC23759,2021-10-04 00:00:00,02415,GOLD,6,2022-07-12 00:00:00
0000000083,MC48628,2019-09-19 00:00:00,00077,GOLD,5,2020-03-02 00:00:00
0000000085,MC44671,2018-08-28 00:00:00,02118,MEMBER,6,2019-03-14 00:00:00
0000000087,MC51532,2017-10-02 00:00:00,01499,GOLD,28,2018-03-10 00:00:00
0000000088,MC35372,2017-01-01 00:00:00,04906,MEMBER,7,2017-07-15 00:00:00
0000000091,MC65363,2023-04-25 00:00:00,03318,SILVER,59,2023-07-08 00:00:00
0000000094,MC11634,2021-05-07 00:00:00,01133,SILVER,11,2022-03-19 00:00:00
0000000095,MC72864,2019-06-19 00:00:00,04902,MEMBER,88,2019-09-28 00:00:00
0000000096,MC98753,2020-08-19 00:00:00,02979,MEMBER,53,2020-12-24 00:00:00
0000000099,MC18859,2015-07-08 00:00:00,04706,MEMBER,30,2015-11-08 00:00:00
0000000101,MC76932,2022-01-27 00:00:00,03554,MEMBER,18,2022-11-13 00:00:00
0000000103,MC28264,2020-10-08 00:00:00,04464,GOLD,25,2021-03-05 00:00:00
0000000107,MC35467,2023-02-26 00:00:00,03599,SILVER,62,2024-01-06 00:00:00
0000000108,MC61352,2020-10-12 00:00:00,04265,MEMBER,100,2021-08-28 00:00:00
0000000110,MC40171,2018-03-21 00:00:00,03434,GOLD,45,2018-12-07 00:00:00
0000000111,MC46830,2017-10-20 00:00:00,04495,MEMBER,92,2018-08-05 00:00:00
0000000114,MC62213,2015-08-07 00:00:00,01355,GOLD,28,2015-12-12 00:00:00
0000000115,MC15519,2018-05-26 00:00:00,03081,GOLD,2,2018-10-21 00:00:00
0000000116,MC28825,2019-11-15 00:00:00,01729,GOLD,40,2020-06-27 00:00:00
0000000117,MC60440,2018-10-20 00:00:00,01949,MEMBER,6,2019-10-08 00:00:00
0000000120,MC69715,2016-09-01 00:00:00,01810,SILVER,61,2016-10-18 00:00:00
0000000123,MC95821,2018-04-29 00:00:00,03342,GOLD,31,2019-02-01 00:00:00
0000000124,MC29008,2016-05-19 00:00:00,00844,SILVER,98,2016-07-14 00:00:00
0000000126,MC15130,2020-02-20 00:00:00,03389,GOLD,32,2020-04-02 00:00:00
0000000130,MC57164,2015-08-27 00:00:00,01257,MEMBER,16,2016-06-14 00:00:00
0000000133,MC43143,2017-05-19 00:00:00,03793,MEMBER,0,2018-01-16 00:00:00
0000000136,MC70485,2015-07-28 00:00:00,01840,MEMBER,30,2015-10-15 00:00:00
0000000137,MC28767,2019-12-14 00:00:00,04460,MEMBER,38,2020-04-03 00:00:00
0000000144,MC69695,2020-10-11 00:00:00,03942,GOLD,26,2021-07-03 00:00:00
0000000146,MC87007,2020-01-27 00:00:00,00336,MEMBER,60,2020-09-24 00:00:00
0000000149,MC84130,2016-09-04 00:00:00,00205,MEMBER,18,2017-03-23 00:00:00
0000000150,MC64356,2019-07-02 00:00:00,03809,GOLD,4,2019-09-24 00:00:00
0000000152,MC45074,2020-02-13 00:00:00,01668,GOLD,46,2020-07-17 00:00:00
0000000154,MC33430,2021-06-15 00:00:00,01762,SILVER,39,2022-04-14 00:00:00
0000000155,MC54337,2022-02-12 00:00:00,00887,SILVER,11,2022-12-02 00:00:00
0000000157,MC60877,2019-04-08 00:00:00,04655,GOLD,12,2019-05-12 00:00:00
0000000158,MC35008,2022-04-06 00:00:00,03848,SILVER,75,2022-11-27 00:00:00
0000000163,MC12271,2016-04-30 00:00:00,04547,GOLD,0,2016-12-09 00:00:00
0000000165,MC35983,2023-04-19 00:00:00,03214,GOLD,96,2023-12-27 00:00:00
0000000167,MC18456,2022-04-28 00:00:00,02457,SILVER,4,2023-04-01 00:00:00
0000000169,MC64140,2023-02-01 00:00:00,04311,GOLD,98,2023-07-29 00:00:00
0000000170,MC98441,2023-06-17 00:00:00,00814,GOLD,30,2023-08-17 00:00:00
0000000172,MC82058,2020-06-21 00:00:00,02714,GOLD,43,2021-05-13 00:00:00
0000000174,MC89377,2017-03-17 00:00:00,02885,GOLD,22,2017-06-26 00:00:00
0000000175,MC67120,2017-10-28 00:00:00,02041,SILVER,21,2018-07-15 00:00:00
0000000180,MC17111,2018-05-11 00:00:00,03142,GOLD,38,2018-12-22 00:00:00
0000000182,MC63205,2021-03-27 00:00:00,04800,GOLD,10,2021-08-17 00:00:00
0000000185,MC48305,2020-09-22 00:00:00,03724,GOLD,87,2021-07-24 00:00:00
0000000186,MC16108,2023-07-07 00:00:00,00321,MEMBER,53,2024-02-16 00:00:00
0000000187,MC83350,2022-06-28 00:00:00,03440,GOLD,56,2022-08-05 00:00:00
0000000189,MC58271,2018-04-25 00:00:00,04118,MEMBER,25,2018-09-12 00:00:00
0000000190,MC74448,2021-08-07 00:00:00,03606,MEMBER,51,2022-01-07 00:00:00
0000000191,MC22296,2016-10-31 00:00:00,01371,MEMBER,93,2017-07-08 00:00:00
0000000193,MC66250,2017-12-31 00:00:00,04761,SILVER,0,2018-02-20 00:00:00
0000000194,MC54174,2016-01-11 00:00:00,03631,SILVER,9,2016-07-11 00:00:00
0000000195,MC35955,2019-09-15 00:00:00,02083,SILVER,88,2020-05-09 00:00:00
0000000196,MC43590,2019-10-05 00:00:00,02386,MEMBER,33,2020-09-26 00:00:00
0000000197,MC13564,2017-12-08 00:00:00,03716,SILVER,26,2018-07-26 00:00:00
0000000198,MC46108,2016-08-03 00:00:00,04016,GOLD,58,2016-11-24 00:00:00
0000000199,MC48722,2017-06-30 00:00:00,03309,MEMBER,76,2018-05-14 00:00:00
0000000200,MC80121,2016-01-06 00:00:00,04213,SILVER,92,2016-03-22 00:00:00
0000000201,MC14205,2023-09-16 00:00:00,01970,MEMBER,60,2024-01-14 00:00:00
0000000204,MC31483,2023-07-15 00:00:00,04492,MEMBER,74,2023-11-04 00:00:00
0000000205,MC60666,2018-03-28 00:00:00,00219,SILVER,82,2018-06-23 00:00:00
0000000206,MC92186,2022-05-22 00:00:00,01492,GOLD,30,2023-02-11 00:00:00
0000000207,MC45303,2022-01-27 00:00:00,03798,SILVER,59,2022-12-07 00:00:00
0000000209,MC59322,2016-06-11 00:00:00,03212,SILVER,95,2017-05-22 00:00:00
0000000214,MC21886,2019-03-06 00:00:00,04486,GOLD,6,2020-02-08 00:00:00
0000000215,MC21220,2023-08-11 00:00:00,02005,GOLD,33,2024-05-24 00:00:00
0000000217,MC96788,2016-03-22 00:00:00,03923,SILVER,80,2016-05-08 00:00:00
0000000218,MC84869,2023-04-28 00:00:00,00281,MEMBER,68,2024-02-20 00:00:00
0000000219,MC12042,2016-02-05 00:00:00,00868,SILVER,19,2016-12-17 00:00:00
0000000220,MC41374,2021-01-29 00:00:00,03012,GOLD,66,2021-05-25 00:00:00
0000000224,MC47810,2015-06-09 00:00:00,01743,MEMBER,58,2015-07-10 00:00:00
0000000225,MC53844,2017-05-20 00:00:00,01172,SILVER,35,2018-03-19 00:00:00
0000000226,MC38705,2022-01-14 00:00:00,00549,GOLD,50,2023-01-01 00:00:00
0000000228,MC34563,2019-06-20 00:00:00,03197,MEMBER,49,2019-08-31 00:00:00
0000000230,MC58698,2020-06-06 00:00:00,00583,SILVER,67,2020-08-26 00:00:00
0000000232,MC21171,2022-01-26 00:00:00,04817,SILVER,88,2022-07-25 00:00:00
0000000236,MC81957,2016-03-30 00:00:00,02762,SILVER,15,2016-07-24 00:00:00
0000000238,MC73126,2017-01-20 00:00:00,04311,SILVER,45,2017-02-24 00:00:00
0000000239,MC98296,2022-10-31 00:00:00,00721,GOLD,89,2023-08-24 00:00:00
0000000240,MC15489,2016-08-09 00:00:00,03860,MEMBER,96,2017-05-18 00:00:00
0000000247,MC59655,2017-07-10 00:00:00,01930,MEMBER,56,2017-10-18 00:00:00
0000000249,MC62727,2018-08-08 00:00:00,01117,MEMBER,80,2019-01-18 00:00:00
0000000251,MC81506,2015-09-05 00:00:00,02879,GOLD,18,2016-03-08 00:00:00
0000000253,MC52613,2015-12-05 00:00:00,01793,GOLD,40,2016-04-08 00:00:00
0000000255,MC62558,2022-11-20 00:00:00,04180,GOLD,49,2023-02-18 00:00:00
0000000260,MC66083,2022-09-10 00:00:00,04947,SILVER,47,2023-01-13 00:00:00
0000000261,MC38732,2020-08-21 00:00:00,04817,GOLD,96,2021-05-08 00:00:00
0000000263,MC53440,2023-08-06 00:00:00,02451,MEMBER,13,2023-10-26 00:00:00
0000000265,MC76445,2019-12-29 00:00:00,03935,MEMBER,38,2020-10-14 00:00:00
0000000268,MC38470,2015-05-07 00:00:00,02415,GOLD,66,2015-08-01 00:00:00
0000000269,MC86782,2021-02-01 00:00:00,00995,MEMBER,92,2021-11-29 00:00:00
0000000270,MC62518,2019-11-07 00:00:00,00539,GOLD,58,2020-03-01 00:00:00
0000000272,MC29446,2019-11-06 00:00:00,01751,GOLD,40,2020-10-29 00:00:00
0000000273,MC85956,2020-01-06 00:00:00,01484,GOLD,61,2020-04-05 00:00:00
0000000276,MC24261,2022-02-22 00:00:00,02906,SILVER,96,2022-08-10 00:00:00
0000000278,MC19490,2017-03-30 00:00:00,02919,GOLD,65,2017-07-10 00:00:00
0000000279,MC53291,2022-02-16 00:00:00,01221,MEMBER,18,2022-07-26 00:00:00
0000000282,MC43371,2023-07-20 00:00:00,00219,GOLD,65,2023-12-29 00:00:00
0000000285,MC38754,2022-04-21 00:00:00,02021,MEMBER,17,2022-06-22 00:00:00
0000000286,MC89945,2015-09-06 00:00:00,02517,SILVER,80,2016-01-24 00:00:00
0000000287,MC77400,2018-06-20 00:00:00,01599,GOLD,82,2019-04-08 00:00:00
0000000288,MC64589,2021-09-30 00:00:00,03839,GOLD,65,2022-07-09 00:00:00
0000000290,MC92463,2022-02-11 00:00:00,03252,SILVER,27,2022-11-09 00:00:00
0000000291,MC67794,2019-06-01 00:00:00,03802,SILVER,67,2019-07-14 00:00:00
0000000292,MC46672,2023-08-19 00:00:00,04030,GOLD,98,2023-10-11 00:00:00
0000000294,MC31197,2016-06-16 00:00:00,04989,SILVER,1,2017-04-22 00:00:00
0000000295,MC29462,2019-03-26 00:00:00,01401,GOLD,0,2019-05-29 00:00:00
0000000296,MC45077,2015-05-19 00:00:00,03902,SILVER,72,2016-04-17 00:00:00
0000000299,MC41630,2015-01-07 00:00:00,01773,SILVER,43,2015-03-18 00:00:00
0000000300,MC67122,2015-08-06 00:00:00,00741,GOLD,57,2015-10-27 00:00:00
0000000302,MC98355,2021-12-08 00:00:00,02439,MEMBER,3,2022-06-11 00:00:00
0000000303,MC50297,2020-09-02 00:00:00,01161,SILVER,48,2020-12-11 00:00:00
0000000304,MC94353,2021-09-10 00:00:00,03434,SILVER,54,2022-05-27 00:00:00
0000000305,MC60858,2015-11-13 00:00:00,01205,SILVER,19,2016-10-12 00:00:00
0000000307,MC92361,2019-01-15 00:00:00,04745,SILVER,41,2019-10-08 00:00:00
0000000309,MC96474,2022-10-18 00:00:00,04473,MEMBER,1,2023-04-11 00:00:00
0000000311,MC64251,2019-10-20 00:00:00,00286,SILVER,5,2020-01-14 00:00:00
0000000314,MC11526,2022-07-30 00:00:00,01320,GOLD,3,2023-01-28 00:00:00
0000000316,MC42227,2017-09-26 00:00:00,03954,GOLD,93,2017-11-20 00:00:00
0000000325,MC44119,2021-09-23 00:00:00,01626,GOLD,77,2021-12-07 00:00:00
0000000326,MC88943,2022-09-23 00:00:00,04529,GOLD,41,2023-03-25 00:00:00
0000000327,MC45253,2020-03-28 00:00:00,01124,SILVER,49,2021-03-16 00:00:00
0000000329,MC49510,2017-11-14 00:00:00,00449,SILVER,86,2018-10-26 00:00:00
