TicketID,FeedbackTotal,FeedbackService,FeedbackFood,FeedbackPrices,FeedbackLocation,FeedbackNote
TKT0000001,3,2,3,1,7,Note for TKT0000001
TKT0000002,6,7,7,5,6,Note for TKT0000002
TKT0000003,9,8,10,10,9,Note for TKT0000003
TKT0000004,6,3,3,10,9,Note for TKT0000004
TKT0000005,5,6,5,6,5,Note for TKT0000005
TKT0000006,6,10,2,7,6,Note for TKT0000006
TKT0000007,5,8,6,7,1,Note for TKT0000007
TKT0000008,5,7,4,9,1,Note for TKT0000008
TKT0000009,6,10,10,1,6,Note for TKT0000009
TKT0000010,5,7,3,8,5,Note for TKT0000010
TKT0000011,6,9,4,10,1,Note for TKT0000011
TKT0000012,5,2,2,10,6,Note for TKT0000012
TKT0000013,8,8,9,9,9,Note for TKT0000013
TKT0000014,5,6,6,2,6,Note for TKT0000014
TKT0000015,7,8,9,10,3,Note for TKT0000015
TKT0000016,8,9,6,10,8,Note for TKT0000016
TKT0000017,6,5,10,1,9,Note for TKT0000017
TKT0000018,7,7,4,9,10,Note for TKT0000018
TKT0000019,3,4,2,3,4,Note for TKT0000019
TKT0000020,3,3,5,1,4,Note for TKT0000020
TKT0000021,4,1,9,6,1,Note for TKT0000021
TKT0000022,5,9,3,1,9,Note for TKT0000022
TKT0000023,4,1,2,10,3,Note for TKT0000023
TKT0000024,7,7,8,10,4,Note for TKT0000024
TKT0000025,3,1,3,4,4,Note for TKT0000025
TKT0000026,6,6,10,7,3,Note for TKT0000026
TKT0000027,4,2,5,4,8,Note for TKT0000027
TKT0000028,4,6,5,2,4,Note for TKT0000028
TKT0000029,4,8,5,4,2,Note for TKT0000029
TKT0000030,7,6,6,9,7,Note for TKT0000030
TKT0000031,5,2,10,8,1,Note for TKT0000031
TKT0000032,4,1,2,6,8,Note for TKT0000032
TKT0000033,7,9,5,5,10,Note for TKT0000033
TKT0000034,4,1,10,2,6,Note for TKT0000034
TKT0000035,7,10,7,9,4,Note for TKT0000035
TKT0000036,3,1,8,1,5,Note for TKT0000036
TKT0000037,5,7,6,3,6,Note for TKT0000037
TKT0000038,5,10,5,4,2,Note for TKT0000038
TKT0000039,3,8,2,3,2,Note for TKT0000039
TKT0000040,4,5,2,1,10,Note for TKT0000040
TKT0000041,4,3,7,3,4,Note for TKT0000041
TKT0000042,5,8,6,5,1,Note for TKT0000042
TKT0000043,5,3,6,10,1,Note for TKT0000043
TKT0000044,8,9,9,10,7,Note for TKT0000044
TKT0000045,8,7,10,6,9,Note for TKT0000045
TKT0000046,4,2,2,9,4,Note for TKT0000046
TKT0000047,4,1,6,1,9,Note for TKT0000047
TKT0000048,5,8,6,2,4,Note for TKT0000048
TKT0000049,5,1,8,2,9,Note for TKT0000049
TKT0000050,4,3,2,7,7,Note for TKT0000050
