OTicketID,DishID,OrderTime,Quantity,Price
TKT0000006,8,2022-09-28 04:58:12,1,75000
TKT0000009,35,2021-03-31 19:15:55,2,60000
TKT0000011,33,2021-11-20 20:00:05,4,35000
TKT0000014,33,2022-06-28 15:44:39,3,35000
TKT0000016,22,2020-04-23 11:50:20,1,150000
TKT0000017,14,2020-04-04 19:12:29,1,40000
TKT0000020,33,2020-05-21 02:11:01,4,35000
TKT0000030,27,2021-01-03 09:45:30,3,30000
TKT0000032,4,2021-10-27 19:10:01,4,55000
TKT0000033,10,2021-05-04 05:07:53,4,85000
TKT0000036,30,2024-11-17 16:34:59,1,30000
TKT0000039,38,2022-07-13 22:20:15,1,65000
TKT0000040,3,2024-12-22 15:16:47,4,45000
TKT0000042,11,2023-12-08 07:45:14,2,100000
TKT0000044,38,2022-03-25 07:49:46,2,65000
TKT0000046,23,2021-09-01 17:17:23,2,200000
TKT0000049,27,2023-08-09 15:19:31,4,30000
TKT0000052,19,2020-08-14 04:52:11,5,15000
TKT0000053,27,2024-02-10 21:53:44,2,30000
TKT0000057,8,2024-07-03 19:37:20,4,75000
TKT0000059,6,2023-09-01 13:40:36,5,60000
TKT0000065,8,2022-07-09 19:30:32,4,75000
TKT0000068,32,2022-06-04 11:02:29,1,40000
TKT0000073,12,2022-12-26 09:36:43,1,30000
TKT0000076,16,2022-05-23 10:53:19,5,20000
TKT0000081,36,2024-09-12 19:13:03,3,55000
TKT0000082,24,2021-11-03 20:18:02,2,250000
TKT0000084,12,2022-09-18 08:08:46,3,30000
TKT0000087,11,2023-01-05 17:43:31,2,100000
TKT0000088,4,2020-09-05 03:31:19,2,55000
TKT0000089,31,2022-04-24 14:16:32,3,15000
TKT0000091,29,2022-07-18 18:48:05,4,50000
TKT0000092,14,2020-10-15 17:34:33,1,40000
TKT0000093,34,2020-06-06 22:02:40,2,50000
TKT0000095,25,2024-03-18 18:18:53,5,180000
TKT0000100,21,2022-02-28 13:36:41,1,35000
TKT0000101,38,2023-08-03 13:04:23,3,65000
TKT0000106,8,2022-10-04 06:41:06,2,75000
TKT0000109,30,2021-03-16 12:57:12,5,30000
TKT0000114,37,2020-09-07 14:51:13,2,40000
TKT0000118,39,2022-10-07 21:48:11,3,80000
TKT0000120,12,2023-03-19 15:02:44,1,30000
TKT0000122,30,2023-03-30 04:46:20,3,30000
TKT0000125,39,2022-10-17 11:24:02,1,80000
TKT0000127,37,2023-06-13 00:40:39,4,40000
TKT0000128,37,2021-04-20 16:01:30,2,40000
TKT0000132,13,2024-03-30 09:04:44,2,35000
TKT0000140,10,2023-03-27 21:53:18,4,85000
TKT0000143,6,2024-06-25 16:27:06,1,60000
TKT0000145,13,2024-06-25 18:28:29,2,35000
TKT0000146,34,2024-04-07 21:09:04,3,50000
TKT0000148,36,2021-11-27 01:51:45,3,55000
TKT0000150,35,2022-11-12 21:44:09,3,60000
TKT0000151,9,2022-07-15 19:06:19,3,80000
TKT0000152,5,2020-03-24 13:22:36,5,65000
TKT0000153,34,2020-09-02 08:00:38,5,50000
TKT0000158,38,2022-09-16 10:31:31,4,65000
TKT0000162,7,2022-03-29 15:49:08,3,70000
TKT0000163,16,2020-05-04 21:29:45,4,20000
TKT0000165,9,2020-01-13 20:56:32,2,80000
TKT0000169,3,2024-12-30 10:51:41,3,45000
TKT0000175,7,2024-04-11 22:35:46,2,70000
TKT0000177,17,2020-09-10 22:25:29,5,30000
TKT0000180,2,2022-07-23 02:22:24,3,60000
TKT0000189,32,2020-12-31 10:27:02,1,40000
TKT0000193,26,2023-07-18 06:35:50,5,25000
TKT0000200,18,2020-07-03 10:13:01,2,40000
TKT0000202,13,2024-12-17 03:52:56,1,35000
