PTicketID,BranchName,Area,NumberofCustomer,PreOrderNote
TKT0028281,{12},Area 3,10,Note for TKT0028281
TKT0032606,{7},Area 2,4,Note for TKT0032606
TKT0039262,{11},Area 2,2,Note for TKT0039262
TKT0062120,{13},Area 2,8,Note for TKT0062120
TKT0063209,{7},Area 3,5,Note for TKT0063209
TKT0095122,{4},Area 3,7,Note for TKT0095122
TKT0058200,{5},Area 3,2,Note for TKT0058200
TKT0050135,{6},Area 2,3,Note for TKT0050135
TKT0061225,{15},Area 2,9,Note for TKT0061225
TKT0020719,{11},Area 3,10,Note for TKT0020719
TKT0095672,{13},Area 2,2,Note for TKT0095672
TKT0078248,{15},Area 3,5,Note for TKT0078248
TKT0013608,{11},Area 4,5,Note for TKT0013608
TKT0022185,{5},Area 1,8,Note for TKT0022185
TKT0058475,{2},Area 3,7,Note for TKT0058475
TKT0080077,{7},Area 3,5,Note for TKT0080077
TKT0054785,{15},Area 3,3,Note for TKT0054785
TKT0082945,{11},Area 4,7,Note for TKT0082945
TKT0022961,{9},Area 4,4,Note for TKT0022961
TKT0098106,{6},Area 3,6,Note for TKT0098106
TKT0087433,{11},Area 1,1,Note for TKT0087433
TKT0070174,{15},Area 3,3,Note for TKT0070174
TKT0029880,{7},Area 2,4,Note for TKT0029880
TKT0094275,{15},Area 3,5,Note for TKT0094275
TKT0069869,{2},Area 1,9,Note for TKT0069869
TKT0084360,{12},Area 4,2,Note for TKT0084360
TKT0096890,{15},Area 3,9,Note for TKT0096890
TKT0088608,{2},Area 4,9,Note for TKT0088608
TKT0028223,{10},Area 4,2,Note for TKT0028223
TKT0047123,{8},Area 2,10,Note for TKT0047123
TKT0095134,{3},Area 3,10,Note for TKT0095134
TKT0050946,{3},Area 1,7,Note for TKT0050946
TKT0062836,{3},Area 4,5,Note for TKT0062836
TKT0041965,{9},Area 2,8,Note for TKT0041965
TKT0038010,{10},Area 2,5,Note for TKT0038010
TKT0088131,{6},Area 2,10,Note for TKT0088131
TKT0039486,{15},Area 3,6,Note for TKT0039486
TKT0046914,{9},Area 4,4,Note for TKT0046914
TKT0040393,{12},Area 4,1,Note for TKT0040393
TKT0087163,{11},Area 1,5,Note for TKT0087163
TKT0061542,{11},Area 1,10,Note for TKT0061542
TKT0092953,{10},Area 1,5,Note for TKT0092953
TKT0027498,{10},Area 1,1,Note for TKT0027498
TKT0086052,{10},Area 4,9,Note for TKT0086052
TKT0082820,{14},Area 1,10,Note for TKT0082820
TKT0030908,{11},Area 4,10,Note for TKT0030908
TKT0076613,{9},Area 3,5,Note for TKT0076613
TKT0066264,{14},Area 4,4,Note for TKT0066264
TKT0051591,{7},Area 4,7,Note for TKT0051591
TKT0046877,{7},Area 1,4,Note for TKT0046877
TKT0087761,{6},Area 4,1,Note for TKT0087761
TKT0061692,{3},Area 2,2,Note for TKT0061692
TKT0067146,{9},Area 1,4,Note for TKT0067146
TKT0065942,{8},Area 2,1,Note for TKT0065942
TKT0092772,{5},Area 3,10,Note for TKT0092772
TKT0048516,{6},Area 4,2,Note for TKT0048516
TKT0072303,{10},Area 2,8,Note for TKT0072303
TKT0014484,{14},Area 4,4,Note for TKT0014484
TKT0027799,{6},Area 4,4,Note for TKT0027799
TKT0048154,{12},Area 1,6,Note for TKT0048154
TKT0048839,{6},Area 1,7,Note for TKT0048839
TKT0061401,{11},Area 1,8,Note for TKT0061401
TKT0069435,{11},Area 1,8,Note for TKT0069435
TKT0013375,{2},Area 1,1,Note for TKT0013375
TKT0029168,{5},Area 2,2,Note for TKT0029168
TKT0073196,{13},Area 1,10,Note for TKT0073196
TKT0037334,{13},Area 4,9,Note for TKT0037334
TKT0040985,{12},Area 3,2,Note for TKT0040985
TKT0057317,{15},Area 1,1,Note for TKT0057317
TKT0023837,{7},Area 1,9,Note for TKT0023837
TKT0052473,{11},Area 1,7,Note for TKT0052473
TKT0022191,{2},Area 4,2,Note for TKT0022191
TKT0045748,{7},Area 2,10,Note for TKT0045748
TKT0040030,{13},Area 2,2,Note for TKT0040030
TKT0063430,{5},Area 3,3,Note for TKT0063430
TKT0010648,{12},Area 2,4,Note for TKT0010648
TKT0048169,{15},Area 1,10,Note for TKT0048169
TKT0038699,{5},Area 2,7,Note for TKT0038699
TKT0021725,{11},Area 4,10,Note for TKT0021725
TKT0076977,{11},Area 1,2,Note for TKT0076977
TKT0041635,{6},Area 3,5,Note for TKT0041635
TKT0038475,{15},Area 3,2,Note for TKT0038475
TKT0084157,{11},Area 4,3,Note for TKT0084157
TKT0091505,{13},Area 2,3,Note for TKT0091505
TKT0094238,{13},Area 1,10,Note for TKT0094238
TKT0084089,{11},Area 4,2,Note for TKT0084089
TKT0085039,{7},Area 2,3,Note for TKT0085039
TKT0081757,{9},Area 4,5,Note for TKT0081757
TKT0015928,{5},Area 4,10,Note for TKT0015928
TKT0054257,{6},Area 1,9,Note for TKT0054257
TKT0071162,{5},Area 3,4,Note for TKT0071162
TKT0066846,{15},Area 1,3,Note for TKT0066846
TKT0073465,{6},Area 4,2,Note for TKT0073465
TKT0012012,{10},Area 4,7,Note for TKT0012012
TKT0015152,{4},Area 4,2,Note for TKT0015152
TKT0028743,{10},Area 3,4,Note for TKT0028743
TKT0031140,{7},Area 3,1,Note for TKT0031140
TKT0083031,{14},Area 3,5,Note for TKT0083031
TKT0049648,{2},Area 3,2,Note for TKT0049648
TKT0029624,{9},Area 3,6,Note for TKT0029624
TKT0021392,{12},Area 3,4,Note for TKT0021392
TKT0026773,{1},Area 3,10,Note for TKT0026773
TKT0074116,{11},Area 2,10,Note for TKT0074116
TKT0068819,{4},Area 3,4,Note for TKT0068819
TKT0082334,{14},Area 1,7,Note for TKT0082334
TKT0085571,{13},Area 2,3,Note for TKT0085571
TKT0047443,{11},Area 2,10,Note for TKT0047443
TKT0097962,{8},Area 3,1,Note for TKT0097962
TKT0033306,{4},Area 2,4,Note for TKT0033306
TKT0014572,{13},Area 4,6,Note for TKT0014572
TKT0021466,{13},Area 3,10,Note for TKT0021466
TKT0082794,{13},Area 3,9,Note for TKT0082794
TKT0091786,{2},Area 3,10,Note for TKT0091786
TKT0029270,{7},Area 3,4,Note for TKT0029270
TKT0061095,{8},Area 3,10,Note for TKT0061095
TKT0036980,{7},Area 4,5,Note for TKT0036980
TKT0032343,{7},Area 3,4,Note for TKT0032343
TKT0090587,{10},Area 4,3,Note for TKT0090587
TKT0063679,{13},Area 4,5,Note for TKT0063679
TKT0046156,{2},Area 1,4,Note for TKT0046156
TKT0022793,{4},Area 4,8,Note for TKT0022793
TKT0049560,{6},Area 1,4,Note for TKT0049560
TKT0017699,{13},Area 4,1,Note for TKT0017699
TKT0067247,{6},Area 3,2,Note for TKT0067247
