SOTicketID,DishID,OrderTime,Quantity,Price
TKT0055921,22,2023-10-25 00:00:00,1,150000
TKT0059824,10,2023-11-15 00:00:00,4,340000
TKT0071436,29,2024-06-24 00:00:00,5,250000
TKT0081106,24,2023-02-16 00:00:00,3,750000
TKT0021044,36,2024-09-18 00:00:00,2,110000
TKT0032891,35,2024-03-13 00:00:00,1,60000
TKT0054997,36,2023-10-09 00:00:00,4,220000
TKT0078138,38,2023-07-22 00:00:00,4,260000
TKT0084349,34,2024-07-09 00:00:00,1,50000
TKT0026147,19,2023-02-12 00:00:00,3,45000
TKT0071990,15,2024-06-08 00:00:00,3,150000
TKT0071289,1,2024-01-11 00:00:00,4,200000
TKT0088727,5,2024-03-29 00:00:00,2,130000
TKT0067449,35,2023-05-23 00:00:00,5,300000
TKT0055265,16,2024-02-15 00:00:00,4,80000
TKT0085584,6,2024-07-01 00:00:00,2,120000
TKT0049139,25,2024-05-10 00:00:00,3,540000
TKT0097580,14,2024-04-06 00:00:00,3,120000
TKT0013318,13,2023-08-23 00:00:00,1,35000
TKT0031867,7,2024-03-04 00:00:00,4,280000
TKT0060256,35,2023-09-06 00:00:00,5,300000
TKT0039457,1,2024-03-08 00:00:00,4,200000
TKT0019937,8,2024-06-24 00:00:00,5,375000
TKT0074454,21,2024-05-18 00:00:00,3,105000
TKT0095309,4,2024-04-27 00:00:00,2,110000
TKT0089659,36,2023-12-22 00:00:00,3,165000
TKT0021585,9,2024-01-28 00:00:00,3,240000
TKT0075446,16,2024-04-15 00:00:00,3,60000
TKT0079035,25,2023-02-09 00:00:00,2,360000
TKT0063335,6,2024-07-30 00:00:00,5,300000
TKT0014589,4,2024-05-18 00:00:00,2,110000
TKT0079432,11,2023-11-29 00:00:00,3,300000
TKT0076330,2,2023-10-28 00:00:00,4,240000
TKT0027675,17,2024-01-17 00:00:00,4,120000
TKT0091963,26,2023-10-03 00:00:00,2,50000
TKT0064165,26,2024-02-24 00:00:00,3,75000
TKT0013124,27,2024-06-21 00:00:00,3,90000
TKT0032312,24,2024-03-15 00:00:00,4,1000000
TKT0041086,16,2023-03-06 00:00:00,2,40000
TKT0032148,27,2023-06-14 00:00:00,3,90000
TKT0037459,12,2023-02-28 00:00:00,4,120000
TKT0031352,27,2023-10-17 00:00:00,1,30000
TKT0086657,30,2024-09-01 00:00:00,5,150000
TKT0051814,22,2024-10-07 00:00:00,4,600000
TKT0031782,9,2023-02-23 00:00:00,5,400000
TKT0089371,7,2024-06-27 00:00:00,2,140000
TKT0065591,36,2024-09-25 00:00:00,1,55000
TKT0075219,20,2023-03-26 00:00:00,2,80000
TKT0085974,6,2024-10-11 00:00:00,5,300000
TKT0036314,13,2023-01-06 00:00:00,3,105000
TKT0010699,8,2023-09-29 00:00:00,5,375000
TKT0024973,1,2023-07-07 00:00:00,1,50000
TKT0083765,22,2024-05-16 00:00:00,1,150000
TKT0035015,4,2023-01-25 00:00:00,2,110000
TKT0080288,30,2024-05-27 00:00:00,3,90000
TKT0093536,34,2023-10-21 00:00:00,4,200000
TKT0076704,5,2024-08-26 00:00:00,4,260000
